companyName,createdOn,expiresOn,imageLink,jobDescription,jobLink,location,opportunityDate,requiredExperience,role,updatedOn
Hike,17-02-2022T06:46:03+0000UTC,19-03-2022T06:46:03+0000UTC,https://d2yjqys1j7uhg1.cloudfront.net/images/icons/companies/hike.svg,"<h4><strong>Skills &amp; Experience We're Looking For</strong></h4><ul style=\""list-style-type:disc\""><li>Bachelor's Degree in Computer Science, Software Engineering or related area</li><li>Experience with various programming languages such as C++/C# programming, Java, HTML5, and JavaScript</li><li>Ability to interact with cross-functional teams</li><li>Highly developed analytical and organizational skills</li><li>Work in an agile environment to deliver high-quality software.</li><li>Experience with distributed, multi-tiered systems, algorithms, and relational databases.</li><li>Experience in optimization mathematics such as linear programming and nonlinear optimization.</li><li>Ability to effectively articulate technical challenges and solutions.</li><li>Ability to design and code the right solutions starting with broadly defined problems.</li></ul><h4><strong>You will</strong></h4><ul style=\""list-style-type:disc\""><li>Developing applications (coding, programming)</li><li>Debugging and testing code</li><li>Documenting and testing new software applications</li><li>Researching, investigating, and fixing a wide range of technical issues</li><li>Collaborating with senior leaders</li><li>Approaching problems and creating solutions</li><li>Proactively learning about new technologies</li><li>Collaborate with an experienced cross-disciplinary team to conceive, design, and bring innovative products and services to market.</li><li>Build distributed storage, index, and query systems that are scalable, fault-tolerant, low cost, and easy to manage/use.<br />\u00a0</li></ul><hr />",https://www.linkedin.com/jobs/view/2923999114?source=techmaestro,DELHI,18-02-2022T21:38:44,"Min Experience : 0,Level : Internship",SDE Intern,17-02-2022T06:46:03+0000UTC
Airbnb,17-02-2022T06:36:03+0000UTC,19-03-2022T06:36:03+0000UTC,https://d2yjqys1j7uhg1.cloudfront.net/images/icons/airbnb.jpeg,"<h4><strong>What you need to succeed</strong></h4><ul><li><span style=\""color:rgb(34,34,34)\"">Backend or Full-Stack experience in a work setting or classroom setting.</span></li><li><span style=\""color:rgb(34,34,34)\"">Work experience, open-source code, or coursework in any of the following languages: C/C++, Java, C#, Python/Django, Ruby/Ruby on Rails</span></li><li><span style=\""color:rgb(34,34,34)\"">Evidence of exposure to architectural patterns of a large, high-scale web application (e.g., well-designed APIs, high volume data pipelines, efficient algorithms).</span></li><li><span style=\""color:rgb(34,34,34)\"">Understanding of data structures and problem-solving approaches, and ability to articulate trade-offs</span></li><li><span style=\""color:rgb(34,34,34)\"">Passion for creating a highly effective technology platform for our growing global workforce</span></li><li><span style=\""color:rgb(34,34,34)\"">Experience with Agile development</span></li><li><span style=\""color:rgb(34,34,34)\"">Be future-looking; we might be focused on immediate regulations, but need to build for the long term</span></li><li><span style=\""color:rgb(34,34,34)\"">Comfortable with tackling ambiguous problems and unblocking yourself</span></li><li><span style=\""color:rgb(34,34,34)\"">Focus on building high-quality products; every one of our flows affects the business bottom line</span></li><li><span style=\""color:rgb(34,34,34)\"">Data-driven in how you solve problems and validate you've solved them correctly</span></li><li><span style=\""color:rgb(34,34,34)\"">Possesses strong verbal and written communication skills.</span></li><li><span style=\""color:rgb(34,34,34)\"">BS in Computer Science / MIS or equivalent work-related experience</span></li></ul><p><strong>Note</strong>: Only 2021 graduates are eligible to apply for this role.<br />\u00a0</p><hr />",https://careers.airbnb.com/positions/3181763?gh_src=techmaestro,BENGALURU,18-02-2022T21:38:45,"Min Experience : 0,Max Experience : 1",Software Engineer [2021 Grad],17-02-2022T06:36:03+0000UTC
PayPal,17-02-2022T06:33:01+0000UTC,19-03-2022T06:33:01+0000UTC,https://d2yjqys1j7uhg1.cloudfront.net/images/icons/companies/paypal.svg,"<h4>Job Summary</h4><p>PayPal is looking for a full-stack software engineer to help us design and build global PayPal products. As a member of the product development team, you will play an important role in developing solutions for new business initiatives PayPal with a global impact.</p><ul><li>Your experience in software engineering and product development will be highly valued at PayPal. PayPal is undergoing a rapid and exciting period of global growth and your participation will be essential in helping us capitalize on this opportunity.</li></ul><h4>Job Requirements</h4><p>The following skills will work in your favor:</p><ul><li>Familiarity with Agile methodologies</li><li>Jenkins exposure</li><li>Git experience</li><li>JUnit, Selenium, automated testing experience</li><li>Exposure to Node.js, Spring, \u00a0Angular.js, React.js, Backbone.js</li><li>Familiarity with asynchronous programming models</li><li>Web Architecture</li><li>Exposure to mobile app development in iOS and Android<br />\u00a0</li></ul><hr />",https://wd1.myworkdaysite.com/en-US/recruiting/paypal/jobs/job/Bangalore-Karnataka-India/Software-Engineer_R0084340?Codes=techmaestro,BENGALURU,18-02-2022T21:38:46,Min Experience : 0,Software Engineer,17-02-2022T06:33:01+0000UTC
Oracle,17-02-2022T06:30:50+0000UTC,19-03-2022T06:30:50+0000UTC,https://d2yjqys1j7uhg1.cloudfront.net/images/icons/companies/oracle.svg,"<h4><strong>Soft Skills</strong></h4><ul><li>Excellent problem solving, analytical skills, and technical troubleshooting skills</li><li>Ability to learn new skills quickly as needed</li><li>Ability to work with no/minimal supervision.</li><li>Understanding of software quality assurance principles</li><li>Outstanding communication and presentation abilities</li><li>Must have a strong drive for success</li><li>Mentor the team of developers on development best approaches and practices.</li><li>Working with application teams and other stakeholders</li><li>Ensuring compliance with development methodology and technical process</li><li>Ability to multi-task and handle changing priorities.</li></ul><h4><strong>Academic Requirements</strong></h4><ul><li>BE/B.Tech/MCA in Computer Science, Computer Engineering, or equivalent from a reputed educational institute.\u00a0<br />\u00a0</li></ul><hr />",https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/150413/?utm_medium=techmaestro,"BENGALURU,REMOTE",18-02-2022T21:38:46,"Min Experience : 2,Max Experience : 4",Software Developer,17-02-2022T06:30:50+0000UTC
Gojek,16-02-2022T11:52:05+0000UTC,18-03-2022T11:52:05+0000UTC,https://d2yjqys1j7uhg1.cloudfront.net/images/icons/gojek-square.jpg,"<h4>What You Will Do</h4><ul><li>Design and develop highly scalable, available, reliable, secure, and fault-tolerant systems with minimal guidance for one of the world\u2019s fastest-growing companies in the travel</li><li>Communicate, collaborate and work effectively across cross-functional teams in a global environment</li><li>Improve the development experience at Gojek by enhancing development tools, test coverage, and/or code structure</li><li>Implement code that is clear, concise, performant, tested, and easily understood by others</li><li>Responsible for the entire lifecycle of stories: development, test, production, and subsequent fixes and improvements</li><li>Research new technologies and tools, speak and participate in tech conferences to carry the Gojek brand throughout the community</li></ul><h4>What You Will Need</h4><ul><li>At least 2 years of relevant software development experience</li><li>At least 2 years of hands-on experience in designing, developing, testing, and deploying applications on Go-Lang, Java, Ruby, or OOPL large-scale applications</li><li>In-depth experience\u00a0of at least one programming language and framework</li><li>Proficient in OOP, SQL, Design Patterns Data modeling experience in Relational databases</li><li>Well versed with Agile methodologies, TDD and Test Engineering and Automation</li><li>Ability to plan, prioritize, estimate, and execute releases with a good degree of predictability</li><li>Ability to scope, review and refine user stories for technical completeness and to alleviate risks</li></ul><p><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">[In order to be eligible for the referral, please fill out the form by applying below. The Job Link is can be accessed </span><a href=\""https://jobs.lever.co/gojek/d2d91453-d4da-438d-884a-c14206d71f75?lever-source=workattech\"">here</a><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">. If your profile meets the role requirements, you will be referred by </span><a href=\""https://www.linkedin.com/in/arpit-adlakha-30691a101/\""><u>Arpit Adlakha</u></a><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\""><u>]</u></span><br />\u00a0</p><hr />",https://docs.google.com/forms/d/e/1FAIpQLSfJ-6xpnYkv4XnYn6J14hoDlq_C4b31vBYLvGboxLppa3nbiQ/viewform,BENGALURU,18-02-2022T21:38:47,Min Experience : 2,Software Engineer [Referral],16-02-2022T11:52:05+0000UTC
Traveloka,16-02-2022T11:51:02+0000UTC,18-03-2022T11:51:02+0000UTC,https://d2yjqys1j7uhg1.cloudfront.net/images/icons/traveloka.jpeg,"<h4>Job Description\u00a0</h4><p>Software engineering takes the central role in building Traveloka products and systems. You will be responsible for designing, building, improving, or maintaining our frontend and backend applications, third-party data integration, data API, backend systems, or working with monitoring tools and infrastructure.\u00a0</p><p>You will be exposed to several advanced technologies such as search engines including scoring and relevance, reservation engine, automated pricing engine, business process engine, data applications, DevOps-related applications, scraping and product matching, etc.</p><p>You will work in cross-functional teams and meet great people regularly from top-tier technology, consulting, product, or academic backgrounds. We work in an open environment where there are no boundaries or power distance. Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves.</p><h4>Requirement</h4><ul><li>Having minimum 3 years of experience in software engineering as a backend engineer</li><li>Passion in software engineering, application development, or systems development</li><li>Excellent understanding of software engineering concepts, design patterns, and algorithms</li><li>Comfortable working up and down the technology stack</li><li>Curiosity to explore creative solutions and try new things</li><li>Bachelors' degree in Computer Science or equivalent from a reputable university</li><li>Good to have experience/knowledge on product matching in e-commerce or travel domains.</li><li>Good to have experience/knowledge in scraping, crawling<br />\u00a0</li></ul><hr />",https://boards.greenhouse.io/traveloka/jobs/4973716003?gh_src=techmaestro,BENGALURU,18-02-2022T21:38:48,Min Experience : 3,Software Engineer,16-02-2022T11:51:02+0000UTC
NVIDIA,16-02-2022T11:48:42+0000UTC,18-03-2022T11:48:42+0000UTC,https://d2yjqys1j7uhg1.cloudfront.net/images/icons/nvidia.jpeg,"<h4><strong>What you'll be doing</strong></h4><ul><li>The product team is responsible to design creative scalable cloud solutions to scale to millions of jobs and thousands of systems</li><li>You will be working on challenging problems in areas of infrastructure such as job scheduling, resource management and automated recovery.</li><li>Develop various device plugins on Kubernetes</li><li>Build complete solutions including Metrics, Alert and Storage Services</li><li>You want to dig more data, analyze much more, apply deep learning algorithms / machine learn to improve the performance/predictability of the system</li></ul><h4><strong>What we need to see</strong></h4><ul><li>Strong object-oriented programming background, Java strongly preferred</li><li>Have a good understanding of coding standard methodologies</li><li>Strong understanding of algorithms and data structures</li><li>Familiar with Relational Databases and NoSQL database concepts</li><li>Ability to collaborate across multiple teams and across people working in different time zones.</li><li>BS/MS in Computer Science or Computer Engineering or equivalent experience</li></ul><h4><strong>Ways to stand out from the crowd</strong></h4><ul><li>You have worked on computer algorithms and demonstrated the ability to choose the best possible algorithms to nail sophisticated problems</li><li>Able to divide sophisticated problems into simple sub-problems and then reuse available solutions to implement the solutions.</li><li>Ability to design simple systems that can work well with minimal operational support.<br />\u00a0</li></ul><hr />",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/India-Pune/Software-Engineer_JR1952783?source=techmaestro,PUNE,18-02-2022T21:38:49,Min Experience : 0,Software Engineer,16-02-2022T11:48:42+0000UTC
Navi,16-02-2022T11:45:00+0000UTC,18-03-2022T11:45:00+0000UTC,https://d2yjqys1j7uhg1.cloudfront.net/images/icons/navi.jpeg,"<h4><strong>Responsibilities</strong></h4><ul style=\""list-style-type:disc\""><li>Develop the front-end for our products and collaborate with designers, other engineers, and product managers to build new features, iterate on current features, and build a world-class user experience.</li><li>Build responsive &amp; reusable UI components using any one Javascript framework: React, Angular, VueJS, as per the specifications and guidelines.</li><li>Be familiar with Responsive Web Design, common Web UX patterns, and anti-patterns.</li><li>Should have hands-on experience in improving web performance including optimizing page load, rendering, caching, etc.</li><li>Be great at debugging, including identifying page speed and performance bottlenecks, using tools like Chrome Dev Tools, React Dev Tools, etc</li></ul><h4><strong>Requirements</strong></h4><ul style=\""list-style-type:disc\""><li>Well-versed with RESTful APIs and their best practices.</li><li>Should be highly proficient with all core features of React or similar frameworks including Redux or Flux pattern.</li><li>Should have experience in JavaScript (React JS/Redux), HTML, CSS, JQuery, HTTP for the Web platform.</li><li>Strong proficiency in writing clean, robust javascript code is a must.</li><li>Should be comfortable working with version-controlled code environments ( eg. GIT).</li><li>Should possess strong Object Oriented design and programming skills.</li><li>Have a strong understanding of XML, JSON, DOM, and w3c standards.</li><li>You should be comfortable working with modern front-end development tools like Babel, webpack, npm, etc.<br />\u00a0</li></ul><hr />",https://www.linkedin.com/jobs/view/2921121278?source=techmaestro,BENGALURU,18-02-2022T21:38:49,"Min Experience : 0,Level : Mid Senior level",UI Engineer 2,16-02-2022T11:45:00+0000UTC
Stripe,15-02-2022T12:10:12+0000UTC,17-03-2022T12:10:12+0000UTC,https://d2yjqys1j7uhg1.cloudfront.net/images/icons/stripe.svg,"<h4>You Will</h4><ul><li>Participate in impactful engineering projects to improve the scalability, reliability, and performance of - Stripe\u2019s APAC systems, including bringing up those systems in new countries for performance and regulatory reasons.</li><li>Drive incident response, review, and remediation in a way that is blameless, sustainable, and data-driven, and elevates the standard of engineering.</li><li>Take an engineering-first approach to operate Stripe\u2019s payment methods, by automating operational tasks and proactively identifying and addressing risks.</li><li>Improve how we approach designing and building reliable systems across the region in operational readiness reviews and by consulting on reliability best practices.</li><li>Collaborate with stakeholders across the organization including dependency engineering teams, product, infrastructure, and operations.</li></ul><h4>We\u2019re looking for someone who</h4><ul><li>Thinks about systems; their edge cases, failure modes, and lifecycles.</li><li>Can debug complex problems across the whole stack.</li><li>Has hands-on experience working on large scale distributed systems.</li><li>Holds themselves and others to a high bar when working with production.</li><li>Has strong collaboration skills, and can work cross-team to deliver solutions.<br />\u00a0</li></ul><hr />",https://stripe.com/jobs/listing/backend-api-engineer-foundations/3941812?gh_src=techmaestro,BENGALURU,18-02-2022T21:38:50,Min Experience : 0,Backend Engineer [Foundation],15-02-2022T12:10:12+0000UTC
Razorpay,15-02-2022T12:03:51+0000UTC,17-03-2022T12:03:51+0000UTC,https://d2yjqys1j7uhg1.cloudfront.net/images/icons/razorpay-square.jpg,"<h4><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\""><strong>Roles and Responsibilities</strong></span></h4><ul><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Be involved and drive product &amp; design discussions.</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Help us scale our payment infrastructure to get every Indian to pay online.</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Help us make decisions to shape our REST APIs for developers worldwide.</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Contribute to open source as we set the standards for mobile payments.</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Be involved and drive product &amp; design discussions.</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">And, most importantly, brainstorm and create new directions that Razorpay can take in our quest to make online payments easy and accessible to all.</span></li></ul><h4><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\""><strong>Desired Skills and Experience</strong></span></h4><ul><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">1+ years of experience in Technology.\u00a0\u00a0\u00a0</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">A strong product design sense.</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Good experience in working with any of the programming languages like PHP, Python, Django, Golang, Java, C++</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Understand end-user requirements, formulate use cases and come up with effective solutions.</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Good understanding of REST APIs and the web in general.</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Ability to build a feature from scratch &amp; drive it to completion.</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">A willingness to learn new technology, whatever lets you deliver the best product.</span></li></ul><p><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Apart from these, the team also expects the following but also accepts that you can be an absolutely great developer without fulfilling the below. So go ahead and apply even if the following isn\u2019t applicable.</span></p><ul><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Have a few weekend side-projects up on GitHub</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Have contributed to an open-source project</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Have worked at a product company</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Have a working knowledge of PHP</span></li><li><span style=\""background-color:rgb(255,255,255);color:rgb(0,0,0)\"">Have a working knowledge of multiple programming languages</span><br />\u00a0</li></ul><hr />",https://razorpay.com/jobs/?src%3Dcareers%26p%3DeyJwYWdlVHlwZSI6ImpkIiwiY3ZTb3VyY2UiOiJjYXJlZXJzIiwicmVxSWQiOjEzOTMsInJlcXVlc3RlciI6eyJpZCI6IiIsImNvZGUiOiIiLCJuYW1lIjoiIn0sInBhZ2UiOiJjYXJlZXJzIiwiYnVmaWx0ZXIiOi0xLCJjdXN0b21GaWVsZHMiOnt9fQ==,BENGALURU,18-02-2022T21:38:51,"Min Experience : 0,Max Experience : 3",Software Development Engineer ,15-02-2022T12:03:51+0000UTC
